Source System Name,Source System Acronym,Table Name,Table Description,ColumnNames,ColumnAcronyms,DataTypes,Nullability,ColumnDescription
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",SurveyID,SID,TEXT,NOT NULLABLE,Unique identifier for each seismic survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",SurveyDate,SDate,DATETIME,NOT NULLABLE,Date of the seismic survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",Latitude,Lat,NULLABLE,NOT NULL
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",Longitude,Long,NULLABLE,NOT NULL
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",Depth,Depth,NUMBER,NOT NULLABLE,Depth of the seismic survey measurement
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ReflectionStrength,RS,NUMBER,NOT NULLABLE,Strength of the seismic reflection
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ReceiverID,RID,TEXT,NULLABLE,Unique identifier for each receiver in the survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ReceiverStatus,RStatus,TEXT,NULLABLE,Status of the receiver (working
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ShotPointID,SPID,TEXT,NOT NULLABLE,Unique identifier for each shot point in the survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ShotPointTime,SPTIME,DATETIME,NOT NULLABLE,Time of the shot point in the survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ShotPointType,SPTYPE,TEXT,NOT NULLABLE,Type of the shot point (source
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ShotPointDepth,SPDepth,NUMBER,NOT NULLABLE,Depth of the shot point in the survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ShotPointStrength,SPStrength,NUMBER,NOT NULLABLE,Strength of the shot point in the survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",FieldEngineer,FE,TEXT,NULLABLE,Field engineer responsible for the survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ProcessingEngineer,PE,TEXT,NULLABLE,Processing engineer responsible for the survey data
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ProcessingDate,PDate,DATETIME,NULLABLE,Date when the survey data was processed
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",ProcessingStatus,PStatus,TEXT,NULLABLE,Status of the data processing (completed
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",SurveyFile,SFile,TEXT,NULLABLE,File name or location of the survey data file
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",SurveyNotes,SNotes,TEXT,NULLABLE,Additional notes or comments about the survey
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",CreatedBy,CBy,TEXT,NOT NULLABLE,Person who created the record
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength.",CreatedDate,CDate,DATETIME,NOT NULLABLE,Date when the record was created
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",WellID,WID,NUMBER,NOT NULLABLE,Unique identifier for each well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",WellName,WN,TEXT,NOT NULLABLE,Name or label assigned to each well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",StrataEncountered,SE,TEXT,NULLABLE,Geological strata encountered in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",PorosityMeasurement,PM,NUMBER,NULLABLE,Measurements of porosity in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",PermeabilityMeasurement,PerM,NUMBER,NULLABLE,Measurements of permeability in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",Depth,Dp,NUMBER,NULLABLE,Depth at which the measurements were taken.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",Temperature,Tmp,NUMBER,NULLABLE,Temperature at the depth of measurement.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",Pressure,Pr,NUMBER,NULLABLE,Pressure at the depth of measurement.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",Density,Dns,NUMBER,NULLABLE,Density at the depth of measurement.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",ClayPercentage,ClayP,NUMBER,NULLABLE,Percentage of clay present in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",SandPercentage,SandP,NUMBER,NULLABLE,Percentage of sand present in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",SiltPercentage,SiltP,NUMBER,NULLABLE,Percentage of silt present in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",CarbonatePercentage,CarbonateP,NUMBER,NULLABLE,Percentage of carbonate present in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",OrganicMatterPercentage,OMP,NUMBER,NULLABLE,Percentage of organic matter present in the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",Lithology,Lth,TEXT,NULLABLE,Lithology of the well.
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements.",GeologicalAge,GA,TEXT,NULLABLE,Geological age of the well.
