Source System Name,Source System Acronym,Table Name,Table Description
Exploration Data System,EDS,SeismicSurveyData_2024,"Contains records of seismic surveys conducted in 2024 including coordinates, depth, and reflection strength."
Exploration Data System,EDS,WellLogAnalysis_2023,"Logs from wells including geological strata encountered, porosity, and permeability measurements."
Exploration Data System,EDS,ExplorationDrillingResults,"Records of outcomes from exploratory drilling including hit/miss, depth, and initial flow rates."
Exploration Data System,EDS,GeophysicalStudiesArchive,A compilation of geophysical research studies relevant to exploration areas including magnetic and gravity surveys.
Exploration Data System,EDS,ProspectEvaluationReports,Evaluation reports of potential drilling sites including risk assessments and expected reserves.
Exploration Data System,EDS,EnvironmentalImpactPreAssessments,Preliminary assessments of environmental impacts for potential exploration sites.
Exploration Data System,EDS,ExploratoryLicenseRegistry,Database of licenses held for exploration including expiration dates and conditions.
Exploration Data System,EDS,DrillingCampaignPerformance,"Performance data for different drilling campaigns including costs, timelines, and outcomes."
Exploration Data System,EDS,HydrocarbonPotentialZones,"Identified zones with potential hydrocarbon presence, categorized by confidence level."
Exploration Data System,EDS,FieldDevelopmentPlans,Plans for developing new fields post-discovery including projected investment and timelines.
Exploration Data System,EDS,GeospatialResourceMapping,"Maps of resources based on exploration data including oil, gas, and other minerals."
Exploration Data System,EDS,ExploratoryCostAnalysis,Analysis of exploration costs by region and project including comparisons and benchmarks.
Exploration Data System,EDS,ResourceEstimationModels,Models estimating the volume of resources based on exploration data.
Exploration Data System,EDS,SeismicAcquisitionData,Data from seismic acquisition operations including raw and processed seismic traces.
Exploration Data System,EDS,ExploratoryWellProfiles,Detailed profiles of exploratory wells including construction details and initial testing results.
Exploration Data System,EDS,GeologicalSampleCatalog,Catalog of geological samples collected during exploration including core samples and cuttings.
Exploration Data System,EDS,TechnologyUtilizationReports,Reports on the technology used in exploration processes and their effectiveness.
Exploration Data System,EDS,ExplorationProjectMilestones,Milestone tracking for exploration projects including key dates and status updates.
Exploration Data System,EDS,RegulatoryComplianceLogs_EandP,Logs of regulatory compliance efforts for exploration and production activities.
Exploration Data System,EDS,ExplorationDataAnalytics,Analytical insights derived from exploration data including trend analysis and predictions.
Drilling Operations Database,DOD,DrillingSchedule2024,Schedule of drilling operations planned for 2024 including locations and expected depths.
Drilling Operations Database,DOD,WellConstructionDetails,Detailed records of well construction including casing and cementing information.
Drilling Operations Database,DOD,DrillingFluidsAnalysis,Analysis of drilling fluids used including composition and performance metrics.
Drilling Operations Database,DOD,BitPerformanceRecords,Performance records for different drill bits including wear rates and efficiency.
Drilling Operations Database,DOD,RigEquipmentMaintenanceLogs,Maintenance logs for drilling rigs including downtime and repairs.
Drilling Operations Database,DOD,SafetyIncidentReports_Drilling,Safety incident reports specific to drilling operations including near-misses and accidents.
